rating_diff,player,piece,count
256,white,pawn,1
256,white,rook,7
256,white,bishop,9
256,white,knight,5
256,white,queen,10
256,white,king,0
256,black,pawn,4
256,black,rook,17
256,black,bishop,13
256,black,knight,9
256,black,queen,15
256,black,king,1
42,white,pawn,12
42,white,rook,35
42,white,bishop,31
42,white,knight,54
42,white,queen,64
42,white,king,0
42,black,pawn,12
42,black,rook,70
42,black,bishop,29
42,black,knight,31
42,black,queen,58
42,black,king,1
157,white,pawn,5
157,white,rook,32
157,white,bishop,14
157,white,knight,13
157,white,queen,42
157,white,king,0
157,black,pawn,5
157,black,rook,36
157,black,bishop,15
157,black,knight,14
157,black,queen,43
157,black,king,0
208,white,pawn,1
208,white,rook,41
208,white,bishop,13
208,white,knight,12
208,white,queen,39
208,white,king,0
208,black,pawn,4
208,black,rook,32
208,black,bishop,11
208,black,knight,21
208,black,queen,38
208,black,king,0
116,white,pawn,5
116,white,rook,33
116,white,bishop,16
116,white,knight,22
116,white,queen,47
116,white,king,0
116,black,pawn,9
116,black,rook,32
116,black,bishop,22
116,black,knight,13
116,black,queen,28
116,black,king,0
131,white,pawn,9
131,white,rook,31
131,white,bishop,23
131,white,knight,36
131,white,queen,48
131,white,king,0
131,black,pawn,4
131,black,rook,29
131,black,bishop,17
131,black,knight,16
131,black,queen,45
131,black,king,0
129,white,pawn,5
129,white,rook,33
129,white,bishop,20
129,white,knight,15
129,white,queen,62
129,white,king,1
129,black,pawn,9
129,black,rook,42
129,black,bishop,16
129,black,knight,20
129,black,queen,30
129,black,king,0
10,white,pawn,12
10,white,rook,58
10,white,bishop,47
10,white,knight,56
10,white,queen,102
10,white,king,0
10,black,pawn,8
10,black,rook,61
10,black,bishop,39
10,black,knight,22
10,black,queen,69
10,black,king,0
70,white,pawn,8
70,white,rook,59
70,white,bishop,35
70,white,knight,31
70,white,queen,67
70,white,king,0
70,black,pawn,10
70,black,rook,63
70,black,bishop,41
70,black,knight,29
70,black,queen,92
70,black,king,0
17,white,pawn,18
17,white,rook,79
17,white,bishop,53
17,white,knight,46
17,white,queen,103
17,white,king,1
17,black,pawn,16
17,black,rook,58
17,black,bishop,51
17,black,knight,31
17,black,queen,166
17,black,king,1
139,white,pawn,9
139,white,rook,38
139,white,bishop,15
139,white,knight,29
139,white,queen,27
139,white,king,0
139,black,pawn,5
139,black,rook,43
139,black,bishop,16
139,black,knight,15
139,black,queen,50
139,black,king,0
121,white,pawn,5
121,white,rook,55
121,white,bishop,20
121,white,knight,16
121,white,queen,38
121,white,king,1
121,black,pawn,7
121,black,rook,57
121,black,bishop,18
121,black,knight,18
121,black,queen,55
121,black,king,0
53,white,pawn,10
53,white,rook,45
53,white,bishop,44
53,white,knight,34
53,white,queen,77
53,white,king,2
53,black,pawn,17
53,black,rook,53
53,black,bishop,35
53,black,knight,19
53,black,queen,68
53,black,king,1
143,white,pawn,1
143,white,rook,21
143,white,bishop,15
143,white,knight,8
143,white,queen,23
143,white,king,0
143,black,pawn,5
143,black,rook,22
143,black,bishop,16
143,black,knight,7
143,black,queen,24
143,black,king,2
331,white,pawn,0
331,white,rook,17
331,white,bishop,7
331,white,knight,5
331,white,queen,23
331,white,king,0
331,black,pawn,3
331,black,rook,7
331,black,bishop,8
331,black,knight,22
331,black,queen,27
331,black,king,0
401,white,pawn,1
401,white,rook,6
401,white,bishop,4
401,white,knight,1
401,white,queen,5
401,white,king,0
401,black,pawn,6
401,black,rook,9
401,black,bishop,9
401,black,knight,8
401,black,queen,18
401,black,king,1
271,white,pawn,5
271,white,rook,19
271,white,bishop,14
271,white,knight,12
271,white,queen,8
271,white,king,0
271,black,pawn,1
271,black,rook,18
271,black,bishop,2
271,black,knight,2
271,black,queen,16
271,black,king,0
31,white,pawn,10
