rating_diff,player,promote_to,count
46,white,rook,1
46,white,bishop,0
46,white,knight,0
46,white,queen,8
46,black,rook,0
46,black,bishop,0
46,black,knight,0
46,black,queen,5
101,white,rook,0
101,white,bishop,0
101,white,knight,0
101,white,queen,8
101,black,rook,0
101,black,bishop,0
101,black,knight,0
101,black,queen,8
50,white,rook,0
50,white,bishop,0
50,white,knight,0
50,white,queen,6
50,black,rook,0
50,black,bishop,0
50,black,knight,0
50,black,queen,6
155,white,rook,0
155,white,bishop,0
155,white,knight,0
155,white,queen,5
155,black,rook,0
155,black,bishop,0
155,black,knight,0
155,black,queen,2
24,white,rook,0
24,white,bishop,0
24,white,knight,0
24,white,queen,9
24,black,rook,1
24,black,bishop,0
24,black,knight,0
24,black,queen,8
5,white,rook,0
5,white,bishop,0
5,white,knight,0
5,white,queen,5
5,black,rook,0
5,black,bishop,0
5,black,knight,0
5,black,queen,17
130,white,rook,0
130,white,bishop,0
130,white,knight,0
130,white,queen,4
130,black,rook,3
130,black,bishop,0
130,black,knight,0
130,black,queen,2
105,white,rook,0
105,white,bishop,0
105,white,knight,0
105,white,queen,2
105,black,rook,0
105,black,bishop,0
105,black,knight,0
105,black,queen,5
13,white,rook,0
13,white,bishop,0
13,white,knight,0
13,white,queen,13
13,black,rook,0
13,black,bishop,0
13,black,knight,0
13,black,queen,10
0,white,rook,0
0,white,bishop,0
0,white,knight,0
0,white,queen,15
0,black,rook,0
0,black,bishop,0
0,black,knight,0
0,black,queen,22
414,white,rook,0
414,white,bishop,0
414,white,knight,0
414,white,queen,2
414,black,rook,0
414,black,bishop,0
414,black,knight,0
414,black,queen,0
20,white,rook,0
20,white,bishop,0
20,white,knight,0
20,white,queen,9
20,black,rook,0
20,black,bishop,0
20,black,knight,0
20,black,queen,5
178,white,rook,0
178,white,bishop,0
178,white,knight,0
178,white,queen,2
178,black,rook,0
178,black,bishop,0
178,black,knight,0
178,black,queen,5
275,white,rook,0
275,white,bishop,0
275,white,knight,0
275,white,queen,3
275,black,rook,0
275,black,bishop,0
275,black,knight,0
275,black,queen,0
146,white,rook,0
146,white,bishop,0
146,white,knight,0
146,white,queen,4
146,black,rook,0
146,black,bishop,1
146,black,knight,0
146,black,queen,2
61,white,rook,1
61,white,bishop,0
61,white,knight,0
61,white,queen,11
61,black,rook,0
61,black,bishop,0
61,black,knight,0
61,black,queen,12
32,white,rook,0
32,white,bishop,0
32,white,knight,0
32,white,queen,7
32,black,rook,1
32,black,bishop,0
32,black,knight,0
32,black,queen,3
398,white,rook,0
398,white,bishop,0
398,white,knight,0
398,white,queen,0
398,black,rook,0
398,black,bishop,0
398,black,knight,0
398,black,queen,2
65,white,rook,0
65,white,bishop,0
65,white,knight,0
65,white,queen,5
65,black,rook,0
65,black,bishop,0
65,black,knight,0
65,black,queen,6
234,white,rook,0
234,white,bishop,0
234,white,knight,0
234,white,queen,3
234,black,rook,0
234,black,bishop,1
234,black,knight,0
234,black,queen,4
207,white,rook,0
207,white,bishop,0
207,white,knight,0
207,white,queen,5
207,black,rook,1
207,black,bishop,0
207,black,knight,0
207,black,queen,3
94,white,rook,0
94,white,bishop,0
94,white,knight,0
94,white,queen,4
94,black,rook,0
94,black,bishop,0
94,black,knight,0
94,black,queen,8
277,white,rook,0
277,white,bishop,0
277,white,knight,0
277,white,queen,4
277,black,rook,0
277,black,bishop,0
277,black,knight,0
277,black,queen,1
588,white,rook,0
588,white,bishop,0
588,white,knight,0
588,white,queen,2
588,black,rook,0
588,black,bishop,0
588,black,knight,0
588,black,queen,1
270,white,rook,0
270,white,bishop,0
270,white,knight,0
270,white,queen,3
270,black,rook,0
270,black,bishop,0
270,black,knight,0
270,black,queen,4
91,white,rook,0
91,white,bishop,0
91,white,knight,0
91,white,queen,2
91,black,rook,0
91,black,bishop,0
91,black,knight,0
91,black,queen,7
39,white,rook,0
39,white,bishop,0
39,white,knight,0
39,white,queen,15
39,black,rook,0
39,black,bishop,0
39,black,knight,0
39,black,queen,10
129,white,rook,0
129,white,bishop,0
129,white,knight,0
129,white,queen,6
129,black,rook,0
129,black,bishop,0
129,black,knight,0
129,black,queen,3
117,white,rook,0
117,white,bishop,0
117,white,knight,1
117,white,queen,1
117,black,rook,0
117,black,bishop,0
117,black,knight,0
117,black,queen,1
140,white,rook,0
140,white,bishop,0
140,white,knight,0
140,white,queen,3
140,black,rook,0
140,black,bishop,0
140,black,knight,0
140,black,queen,3
92,white,rook,0
92,white,bishop,0
92,white,knight,0
92,white,queen,5
92,black,rook,0
92,black,bishop,0
92,black,knight,0
92,black,queen,4
51,white,rook,0
51,white,bishop,0
51,white,knight,1
51,white,queen,8
51,black,rook,0
51,black,bishop,0
51,black,knight,0
51,black,queen,6
37,white,rook,0
37,white,bishop,0
37,white,knight,0
37,white,queen,3
37,black,rook,0
37,black,bishop,1
37,black,knight,2
37,black,queen,8
78,white,rook,0
78,white,bishop,0
78,white,knight,0
78,white,queen,7
78,black,rook,0
78,black,bishop,0
78,black,knight,0
78,black,queen,2
492,white,rook,0
492,white,bishop,0
492,white,knight,0
492,white,queen,0
492,black,rook,0
492,black,bishop,0
492,black,knight,0
492,black,queen,2
351,white,rook,0
351,white,bishop,0
351,white,knight,0
351,white,queen,1
351,black,rook,0
351,black,bishop,0
351,black,knight,0
351,black,queen,1
241,white,rook,0
241,white,bishop,0
241,white,knight,0
241,white,queen,1
241,black,rook,0
241,black,bishop,0
241,black,knight,0
241,black,queen,2
15,white,rook,0
15,white,bishop,0
15,white,knight,0
15,white,queen,9
15,black,rook,0
15,black,bishop,0
15,black,knight,0
15,black,queen,13
445,white,rook,1
445,white,bishop,0
445,white,knight,0
445,white,queen,2
445,black,rook,0
445,black,bishop,0
445,black,knight,0
445,black,queen,0
322,white,rook,0
322,white,bishop,0
322,white,knight,0
322,white,queen,1
322,black,rook,0
322,black,bishop,0
322,black,knight,0
322,black,queen,3
219,white,rook,0
219,white,bishop,1
219,white,knight,0
219,white,queen,4
219,black,rook,0
219,black,bishop,0
219,black,knight,0
219,black,queen,0
21,white,rook,0
21,white,bishop,0
21,white,knight,0
21,white,queen,11
21,black,rook,0
21,black,bishop,0
21,black,knight,0
21,black,queen,14
309,white,rook,0
309,white,bishop,0
309,white,knight,0
309,white,queen,4
309,black,rook,0
309,black,bishop,0
309,black,knight,0
309,black,queen,3
25,white,rook,0
25,white,bishop,0
25,white,knight,0
25,white,queen,12
25,black,rook,0
25,black,bishop,0
25,black,knight,1
25,black,queen,9
184,white,rook,0
184,white,bishop,0
184,white,knight,0
184,white,queen,5
184,black,rook,0
184,black,bishop,0
184,black,knight,0
184,black,queen,2
48,white,rook,0
48,white,bishop,0
48,white,knight,0
48,white,queen,13
48,black,rook,0
48,black,bishop,0
48,black,knight,0
48,black,queen,4
473,white,rook,0
473,white,bishop,0
473,white,knight,0
473,white,queen,1
473,black,rook,0
473,black,bishop,0
473,black,knight,0
473,black,queen,0
200,white,rook,0
200,white,bishop,0
200,white,knight,0
200,white,queen,3
200,black,rook,1
200,black,bishop,0
200,black,knight,0
200,black,queen,4
161,white,rook,0
161,white,bishop,0
161,white,knight,0
161,white,queen,0
161,black,rook,1
161,black,bishop,0
161,black,knight,0
161,black,queen,3
722,white,rook,0
722,white,bishop,0
722,white,knight,0
722,white,queen,1
722,black,rook,0
722,black,bishop,0
722,black,knight,0
722,black,queen,0
153,white,rook,0
153,white,bishop,0
153,white,knight,0
153,white,queen,5
153,black,rook,0
153,black,bishop,0
153,black,knight,0
153,black,queen,2
212,white,rook,0
212,white,bishop,0
212,white,knight,0
212,white,queen,4
212,black,rook,0
212,black,bishop,0
212,black,knight,0
212,black,queen,2
108,white,rook,0
108,white,bishop,0
108,white,knight,0
108,white,queen,16
108,black,rook,0
108,black,bishop,0
108,black,knight,1
108,black,queen,7
191,white,rook,0
191,white,bishop,0
191,white,knight,0
191,white,queen,2
191,black,rook,0
191,black,bishop,0
191,black,knight,0
191,black,queen,2
110,white,rook,0
110,white,bishop,0
110,white,knight,0
110,white,queen,7
