rating_average,winner,count
1202,white,11
1202,black,7
1202,draw,0
1337,white,8
1337,black,5
1337,draw,0
1536,white,16
1536,black,23
1536,draw,3
1482,white,24
1482,black,20
1482,draw,3
1522,white,12
1522,black,19
1522,draw,2
1458,white,18
1458,black,24
1458,draw,0
1422,white,17
1422,black,17
1422,draw,0
1423,white,3
1423,black,5
1423,draw,0
1390,white,29
1390,black,19
1390,draw,4
1448,white,15
1448,black,21
1448,draw,2
1356,white,19
1356,black,18
1356,draw,1
1413,white,8
1413,black,5
1413,draw,0
1158,white,7
1158,black,5
1158,draw,2
1640,white,16
1640,black,13
1640,draw,2
1564,white,19
1564,black,18
1564,draw,1
1418,white,27
1418,black,21
1418,draw,2
1569,white,10
1569,black,7
1569,draw,0
1530,white,27
1530,black,27
1530,draw,2
1708,white,19
1708,black,16
1708,draw,1
1531,white,2
1531,black,7
1531,draw,1
1348,white,12
1348,black,19
1348,draw,1
1686,white,22
1686,black,15
1686,draw,0
1463,white,7
1463,black,3
1463,draw,0
1468,white,21
1468,black,22
1468,draw,1
1555,white,8
1555,black,6
1555,draw,1
1715,white,5
1715,black,5
1715,draw,1
1491,white,12
1491,black,7
1491,draw,0
1590,white,18
1590,black,17
1590,draw,0
1481,white,9
1481,black,8
1481,draw,0
1718,white,16
1718,black,22
1718,draw,6
1749,white,10
1749,black,1
1749,draw,0
1646,white,32
1646,black,15
1646,draw,2
1453,white,6
1453,black,9
1453,draw,1
1600,white,35
1600,black,28
1600,draw,2
1483,white,11
1483,black,11
1483,draw,0
1704,white,14
1704,black,17
1704,draw,2
1577,white,8
1577,black,3
1577,draw,0
1518,white,30
1518,black,33
1518,draw,1
1424,white,21
1424,black,17
1424,draw,3
1633,white,10
1633,black,7
1633,draw,0
1584,white,29
1584,black,18
1584,draw,2
1492,white,17
1492,black,17
1492,draw,0
1505,white,13
1505,black,6
1505,draw,1
1726,white,21
1726,black,19
1726,draw,3
1720,white,19
1720,black,25
1720,draw,2
1668,white,20
1668,black,14
1668,draw,1
1716,white,23
1716,black,14
1716,draw,2
1643,white,9
1643,black,7
1643,draw,1
1680,white,12
1680,black,18
1680,draw,0
1410,white,20
1410,black,19
1410,draw,1
1392,white,19
1392,black,13
1392,draw,3
1396,white,26
1396,black,19
1396,draw,1
1586,white,22
1586,black,32
1586,draw,2
1695,white,5
1695,black,11
1695,draw,0
1696,white,19
1696,black,24
1696,draw,2
1823,white,5
1823,black,5
1823,draw,0
1693,white,6
1693,black,9
1693,draw,0
1630,white,14
1630,black,17
1630,draw,3
1538,white,26
1538,black,28
1538,draw,5
1728,white,16
1728,black,10
1728,draw,5
1729,white,5
1729,black,8
1729,draw,1
1366,white,21
1366,black,14
1366,draw,3
1384,white,25
1384,black,12
1384,draw,1
1328,white,16
1328,black,17
1328,draw,0
1315,white,5
1315,black,2
1315,draw,0
1556,white,21
1556,black,11
1556,draw,1
1266,white,16
1266,black,9
1266,draw,3
1357,white,8
1357,black,6
1357,draw,0
1252,white,13
1252,black,8
1252,draw,0
1138,white,7
1138,black,8
1138,draw,0
1174,white,6
1174,black,6
1174,draw,0
1171,white,2
1171,black,2
1171,draw,0
1262,white,8
1262,black,6
1262,draw,0
1180,white,7
1180,black,3
1180,draw,0
1064,white,7
1064,black,1
1064,draw,0
1144,white,4
1144,black,7
1144,draw,1
1305,white,11
1305,black,9
1305,draw,0
1208,white,6
1208,black,4
1208,draw,1
1203,white,6
1203,black,1
1203,draw,0
1214,white,8
1214,black,13
1214,draw,2
1127,white,0
1127,black,2
1127,draw,0
1226,white,6
1226,black,7
1226,draw,0
1228,white,10
1228,black,8
1228,draw,2
1096,white,2
1096,black,1
1096,draw,0
1147,white,6
1147,black,2
1147,draw,0
1267,white,4
1267,black,5
1267,draw,0
1184,white,12
1184,black,6
1184,draw,0
1196,white,6
1196,black,5
1196,draw,3
1021,white,0
1021,black,1
1021,draw,1
1088,white,3
1088,black,4
1088,draw,0
1104,white,3
1104,black,2
1104,draw,0
1091,white,0
1091,black,1
1091,draw,0
1024,white,1
1024,black,0
1024,draw,1
1054,white,3
1054,black,2
1054,draw,0
1165,white,2
1165,black,3
1165,draw,0
1090,white,1
1090,black,1
1090,draw,0
1028,white,1
1028,black,2
1028,draw,0
1966,white,3
1966,black,8
1966,draw,1
2056,white,6
2056,black,7
2056,draw,1
1981,white,4
1981,black,6
1981,draw,1
2030,white,5
2030,black,8
2030,draw,1
1953,white,6
1953,black,2
1953,draw,2
1971,white,3
1971,black,1
1971,draw,1
1936,white,5
1936,black,10
1936,draw,1
2025,white,7
2025,black,1
2025,draw,0
1994,white,9
1994,black,4
1994,draw,1
1987,white,4
1987,black,1
1987,draw,0
1914,white,10
1914,black,10
1914,draw,0
2126,white,4
2126,black,5
2126,draw,0
1940,white,9
1940,black,7
1940,draw,2
2000,white,7
2000,black,6
2000,draw,1
2041,white,3
2041,black,2
2041,draw,0
1764,white,14
1764,black,10
1764,draw,0
1900,white,12
1900,black,16
1900,draw,0
1806,white,21
1806,black,19
1806,draw,0
2100,white,9
2100,black,3
2100,draw,3
1787,white,1
1787,black,6
1787,draw,1
1844,white,15
1844,black,11
1844,draw,3
1611,white,9
1611,black,11
1611,draw,1
1766,white,20
1766,black,5
1766,draw,1
2017,white,4
2017,black,1
2017,draw,1
1951,white,3
1951,black,1
1951,draw,0
2016,white,2
2016,black,14
2016,draw,1
1532,white,33
1532,black,25
1532,draw,1
1236,white,4
1236,black,6
1236,draw,1
1193,white,2
1193,black,3
1193,draw,0
1220,white,7
1220,black,5
1220,draw,1
1671,white,14
1671,black,3
1671,draw,1
1929,white,2
1929,black,1
1929,draw,0
1249,white,5
1249,black,2
1249,draw,0
1345,white,18
1345,black,8
1345,draw,0
1511,white,6
1511,black,5
1511,draw,1
2356,white,0
2356,black,1
2356,draw,0
2404,white,0
2404,black,1
2404,draw,0
2364,white,0
2364,black,1
2364,draw,0
2332,white,0
2332,black,1
2332,draw,0
2083,white,2
2083,black,2
2083,draw,0
2085,white,2
2085,black,1
2085,draw,1
2173,white,3
2173,black,0
2173,draw,0
2102,white,7
2102,black,3
2102,draw,0
1972,white,8
1972,black,6
1972,draw,2
2148,white,1
2148,black,6
2148,draw,1
1988,white,9
1988,black,7
1988,draw,2
2088,white,8
2088,black,10
2088,draw,0
2071,white,0
2071,black,1
2071,draw,0
2170,white,5
2170,black,5
2170,draw,0
2218,white,5
2218,black,3
2218,draw,2
2115,white,1
2115,black,0
2115,draw,0
2146,white,4
2146,black,4
2146,draw,0
2090,white,8
2090,black,4
2090,draw,0
2134,white,5
2134,black,3
2134,draw,0
2215,white,0
2215,black,2
2215,draw,0
1810,white,13
1810,black,19
1810,draw,1
2054,white,3
2054,black,6
2054,draw,1
2138,white,3
2138,black,2
2138,draw,1
2260,white,1
2260,black,3
2260,draw,0
2072,white,6
2072,black,4
2072,draw,0
2032,white,6
2032,black,4
2032,draw,1
1978,white,7
1978,black,7
1978,draw,0
2053,white,1
2053,black,3
2053,draw,1
1724,white,19
1724,black,18
1724,draw,2
2002,white,6
2002,black,9
2002,draw,1
1791,white,7
1791,black,5
1791,draw,0
1922,white,13
1922,black,12
1922,draw,0
1918,white,3
1918,black,12
1918,draw,0
1908,white,10
1908,black,20
1908,draw,3
1898,white,9
1898,black,15
1898,draw,1
1996,white,8
1996,black,7
1996,draw,0
1402,white,14
1402,black,13
1402,draw,1
1237,white,2
1237,black,2
1237,draw,0
1140,white,4
1140,black,5
1140,draw,1
1264,white,13
1264,black,11
1264,draw,0
1928,white,9
1928,black,15
1928,draw,2
1878,white,21
1878,black,16
1878,draw,1
1489,white,5
1489,black,5
1489,draw,2
1420,white,19
1420,black,12
1420,draw,1
1460,white,26
1460,black,11
1460,draw,2
1529,white,10
1529,black,6
1529,draw,1
1605,white,4
1605,black,6
1605,draw,0
1466,white,18
1466,black,17
1466,draw,1
1438,white,30
1438,black,22
1438,draw,1
1432,white,26
1432,black,30
1432,draw,2
1383,white,8
1383,black,8
1383,draw,1
1442,white,24
1442,black,24
1442,draw,1
1374,white,13
1374,black,21
1374,draw,2
1780,white,19
1780,black,13
1780,draw,3
2110,white,2
2110,black,3
2110,draw,0
2108,white,3
2108,black,3
2108,draw,0
1412,white,29
1412,black,23
1412,draw,1
1278,white,12
1278,black,11
1278,draw,0
1134,white,7
1134,black,7
1134,draw,0
1191,white,3
1191,black,1
1191,draw,0
1694,white,13
1694,black,16
1694,draw,2
1768,white,16
1768,black,19
1768,draw,0
1781,white,6
1781,black,4
1781,draw,0
1816,white,12
1816,black,7
1816,draw,0
1817,white,5
1817,black,4
1817,draw,0
1820,white,9
1820,black,12
1820,draw,0
1880,white,7
1880,black,14
1880,draw,1
2314,white,0
2314,black,1
2314,draw,1
2476,white,0
2476,black,0
2476,draw,1
