rating_diff,player,piece_moved,piece_taken,count
486,black,king,bishop,0
486,black,king,knight,0
486,black,king,queen,0
555,white,pawn,pawn,8
555,white,pawn,rook,1
555,white,pawn,bishop,1
555,white,pawn,knight,2
555,white,pawn,queen,0
555,white,rook,pawn,2
555,white,rook,rook,2
555,white,rook,bishop,1
555,white,rook,knight,0
555,white,rook,queen,0
555,white,bishop,pawn,1
555,white,bishop,rook,0
555,white,bishop,bishop,1
555,white,bishop,knight,0
555,white,bishop,queen,0
555,white,knight,pawn,0
555,white,knight,rook,1
555,white,knight,bishop,0
555,white,knight,knight,3
555,white,knight,queen,0
555,white,queen,pawn,1
555,white,queen,rook,0
555,white,queen,bishop,3
555,white,queen,knight,2
555,white,queen,queen,1
555,white,king,pawn,2
555,white,king,rook,1
555,white,king,bishop,0
555,white,king,knight,0
555,white,king,queen,1
555,black,pawn,pawn,8
555,black,pawn,rook,0
555,black,pawn,bishop,1
555,black,pawn,knight,3
555,black,pawn,queen,1
555,black,rook,pawn,4
555,black,rook,rook,1
555,black,rook,bishop,1
555,black,rook,knight,1
555,black,rook,queen,1
555,black,bishop,pawn,2
555,black,bishop,rook,0
555,black,bishop,bishop,0
555,black,bishop,knight,2
555,black,bishop,queen,0
555,black,knight,pawn,2
555,black,knight,rook,0
555,black,knight,bishop,4
555,black,knight,knight,0
555,black,knight,queen,0
555,black,queen,pawn,10
555,black,queen,rook,4
555,black,queen,bishop,1
555,black,queen,knight,0
555,black,queen,queen,0
555,black,king,pawn,1
555,black,king,rook,0
555,black,king,bishop,0
555,black,king,knight,0
555,black,king,queen,0
226,white,pawn,pawn,13
226,white,pawn,rook,0
226,white,pawn,bishop,2
226,white,pawn,knight,2
226,white,pawn,queen,2
226,white,rook,pawn,8
226,white,rook,rook,4
226,white,rook,bishop,3
226,white,rook,knight,4
226,white,rook,queen,1
226,white,bishop,pawn,6
226,white,bishop,rook,4
226,white,bishop,bishop,4
226,white,bishop,knight,8
226,white,bishop,queen,0
226,white,knight,pawn,10
226,white,knight,rook,2
226,white,knight,bishop,3
226,white,knight,knight,6
226,white,knight,queen,3
226,white,queen,pawn,8
226,white,queen,rook,2
226,white,queen,bishop,2
226,white,queen,knight,1
226,white,queen,queen,1
226,white,king,pawn,6
226,white,king,rook,2
226,white,king,bishop,1
226,white,king,knight,0
226,white,king,queen,0
226,black,pawn,pawn,20
226,black,pawn,rook,0
226,black,pawn,bishop,7
226,black,pawn,knight,5
226,black,pawn,queen,0
226,black,rook,pawn,2
226,black,rook,rook,5
226,black,rook,bishop,2
226,black,rook,knight,2
226,black,rook,queen,2
226,black,bishop,pawn,8
226,black,bishop,rook,2
226,black,bishop,bishop,1
226,black,bishop,knight,3
226,black,bishop,queen,0
226,black,knight,pawn,7
226,black,knight,rook,1
226,black,knight,bishop,2
226,black,knight,knight,4
226,black,knight,queen,4
226,black,queen,pawn,6
226,black,queen,rook,1
226,black,queen,bishop,3
226,black,queen,knight,2
226,black,queen,queen,4
226,black,king,pawn,4
226,black,king,rook,0
226,black,king,bishop,1
226,black,king,knight,1
226,black,king,queen,0
206,white,pawn,pawn,39
206,white,pawn,rook,1
206,white,pawn,bishop,12
206,white,pawn,knight,12
206,white,pawn,queen,3
206,white,rook,pawn,13
206,white,rook,rook,15
206,white,rook,bishop,6
206,white,rook,knight,5
206,white,rook,queen,4
206,white,bishop,pawn,13
206,white,bishop,rook,2
206,white,bishop,bishop,12
206,white,bishop,knight,12
206,white,bishop,queen,3
206,white,knight,pawn,28
206,white,knight,rook,5
206,white,knight,bishop,7
206,white,knight,knight,15
206,white,knight,queen,3
206,white,queen,pawn,26
206,white,queen,rook,3
206,white,queen,bishop,10
206,white,queen,knight,5
206,white,queen,queen,7
206,white,king,pawn,6
206,white,king,rook,2
206,white,king,bishop,1
206,white,king,knight,2
206,white,king,queen,2
206,black,pawn,pawn,47
206,black,pawn,rook,0
206,black,pawn,bishop,5
206,black,pawn,knight,10
206,black,pawn,queen,1
206,black,rook,pawn,15
206,black,rook,rook,14
206,black,rook,bishop,3
206,black,rook,knight,2
206,black,rook,queen,5
206,black,bishop,pawn,12
206,black,bishop,rook,4
206,black,bishop,bishop,15
206,black,bishop,knight,20
206,black,bishop,queen,0
206,black,knight,pawn,31
206,black,knight,rook,6
206,black,knight,bishop,9
206,black,knight,knight,9
206,black,knight,queen,2
206,black,queen,pawn,23
206,black,queen,rook,8
206,black,queen,bishop,5
206,black,queen,knight,7
206,black,queen,queen,10
206,black,king,pawn,5
206,black,king,rook,2
206,black,king,bishop,3
206,black,king,knight,4
206,black,king,queen,5
406,white,pawn,pawn,12
406,white,pawn,rook,0
406,white,pawn,bishop,4
406,white,pawn,knight,1
406,white,pawn,queen,1
406,white,rook,pawn,1
406,white,rook,rook,4
406,white,rook,bishop,0
406,white,rook,knight,0
406,white,rook,queen,1
406,white,bishop,pawn,11
406,white,bishop,rook,2
406,white,bishop,bishop,2
406,white,bishop,knight,5
406,white,bishop,queen,1
406,white,knight,pawn,2
406,white,knight,rook,0
406,white,knight,bishop,0
406,white,knight,knight,6
406,white,knight,queen,0
406,white,queen,pawn,6
406,white,queen,rook,0
406,white,queen,bishop,1
406,white,queen,knight,2
406,white,queen,queen,3
406,white,king,pawn,0
406,white,king,rook,0
406,white,king,bishop,2
406,white,king,knight,3
406,white,king,queen,0
406,black,pawn,pawn,9
406,black,pawn,rook,1
406,black,pawn,bishop,5
406,black,pawn,knight,4
406,black,pawn,queen,0
406,black,rook,pawn,3
406,black,rook,rook,3
406,black,rook,bishop,0
406,black,rook,knight,0
406,black,rook,queen,0
406,black,bishop,pawn,5
406,black,bishop,rook,1
406,black,bishop,bishop,0
406,black,bishop,knight,6
406,black,bishop,queen,0
406,black,knight,pawn,4
406,black,knight,rook,1
406,black,knight,bishop,4
406,black,knight,knight,3
406,black,knight,queen,3
406,black,queen,pawn,5
406,black,queen,rook,2
406,black,queen,bishop,0
406,black,queen,knight,3
406,black,queen,queen,2
406,black,king,pawn,0
406,black,king,rook,0
406,black,king,bishop,3
406,black,king,knight,0
406,black,king,queen,0
582,white,pawn,pawn,3
582,white,pawn,rook,0
582,white,pawn,bishop,1
582,white,pawn,knight,0
582,white,pawn,queen,0
582,white,rook,pawn,0
582,white,rook,rook,0
582,white,rook,bishop,0
582,white,rook,knight,0
582,white,rook,queen,0
582,white,bishop,pawn,3
582,white,bishop,rook,1
582,white,bishop,bishop,2
582,white,bishop,knight,1
582,white,bishop,queen,1
582,white,knight,pawn,1
582,white,knight,rook,1
582,white,knight,bishop,0
582,white,knight,knight,0
582,white,knight,queen,0
582,white,queen,pawn,0
582,white,queen,rook,0
582,white,queen,bishop,2
582,white,queen,knight,1
582,white,queen,queen,1
582,white,king,pawn,0
582,white,king,rook,0
582,white,king,bishop,0
582,white,king,knight,1
582,white,king,queen,0
582,black,pawn,pawn,4
582,black,pawn,rook,0
582,black,pawn,bishop,0
582,black,pawn,knight,0
