rating_diff,player,square,count
47,white,55,16
47,white,31,54
47,white,24,52
47,white,25,45
47,white,13,32
47,white,8,11
47,white,0,15
47,white,37,48
47,white,41,11
47,white,1,33
47,white,46,22
47,white,62,8
47,white,63,9
47,white,48,21
47,white,57,8
47,white,58,13
47,white,32,19
47,white,40,14
47,black,36,106
47,black,42,143
47,black,27,104
47,black,21,33
47,black,45,165
47,black,34,120
47,black,62,98
47,black,20,19
47,black,60,60
47,black,33,54
47,black,32,49
47,black,49,46
47,black,43,85
47,black,26,60
47,black,58,54
47,black,35,136
47,black,41,75
47,black,28,66
47,black,39,42
47,black,4,9
47,black,13,24
47,black,22,22
47,black,19,36
47,black,5,17
47,black,47,56
47,black,52,95
47,black,44,103
47,black,63,13
47,black,31,29
47,black,59,44
47,black,51,90
47,black,38,44
47,black,3,15
47,black,25,73
47,black,46,70
47,black,18,43
47,black,61,59
47,black,30,57
47,black,12,21
47,black,15,14
47,black,23,27
47,black,56,16
47,black,11,20
47,black,50,37
47,black,9,28
47,black,10,20
47,black,37,90
47,black,40,46
47,black,48,16
47,black,57,35
47,black,29,28
47,black,54,61
47,black,8,26
47,black,55,26
47,black,0,25
47,black,24,23
47,black,7,12
47,black,6,3
47,black,17,24
47,black,1,7
47,black,14,11
47,black,2,12
47,black,53,38
47,black,16,22
172,white,28,42
172,white,35,21
172,white,18,29
172,white,12,18
172,white,27,32
172,white,40,4
172,white,21,47
172,white,20,18
172,white,38,14
172,white,39,8
172,white,53,9
172,white,6,18
172,white,22,23
172,white,23,16
172,white,34,11
172,white,29,28
172,white,25,13
172,white,50,7
172,white,1,8
172,white,36,25
172,white,13,9
172,white,45,9
172,white,30,17
172,white,14,13
172,white,0,3
172,white,48,1
172,white,26,28
172,white,33,12
172,white,41,4
172,white,49,6
172,white,57,3
172,white,37,6
172,white,54,6
172,white,19,28
172,white,46,3
172,white,59,5
172,white,2,11
172,white,16,13
172,white,4,7
172,white,44,6
172,white,60,4
172,white,42,3
172,white,24,8
172,white,47,4
172,white,11,12
172,white,3,10
172,white,7,3
172,white,31,7
172,white,52,2
172,white,56,2
172,white,62,1
172,white,58,2
172,white,43,8
172,white,55,5
172,white,63,1
172,white,32,6
172,white,9,6
172,white,17,13
172,white,10,2
172,white,51,8
172,white,5,5
172,white,61,1
172,white,15,1
172,white,8,2
172,black,35,39
172,black,36,35
172,black,40,15
172,black,37,17
172,black,44,20
172,black,49,4
172,black,26,19
172,black,14,6
172,black,53,9
172,black,21,11
172,black,39,17
172,black,46,12
172,black,45,48
172,black,58,7
172,black,30,18
172,black,42,34
172,black,25,7
172,black,32,12
172,black,50,8
172,black,60,10
172,black,51,21
172,black,11,5
172,black,8,4
172,black,12,3
172,black,28,21
172,black,29,14
172,black,38,17
172,black,31,7
172,black,33,15
172,black,23,4
172,black,47,12
172,black,55,3
172,black,63,5
172,black,34,27
172,black,52,19
172,black,43,16
172,black,59,13
172,black,19,7
172,black,54,8
172,black,61,6
172,black,27,19
172,black,62,15
172,black,41,13
172,black,56,2
172,black,18,5
172,black,0,2
172,black,6,1
172,black,15,3
172,black,7,4
172,black,57,7
172,black,9,6
172,black,16,2
172,black,24,3
172,black,13,4
172,black,1,2
172,black,2,2
172,black,5,3
172,black,20,4
172,black,17,4
172,black,22,1
109,white,20,39
109,white,27,55
109,white,19,49
109,white,21,82
109,white,18,65
109,white,11,42
109,white,12,34
109,white,34,25
109,white,6,43
109,white,4,36
109,white,28,66
109,white,36,57
109,white,35,36
109,white,26,45
109,white,3,22
109,white,38,46
109,white,52,23
109,white,59,11
109,white,60,8
109,white,29,33
109,white,33,39
109,white,16,21
109,white,42,20
109,white,17,25
109,white,53,21
109,white,49,19
109,white,50,18
109,white,2,23
109,white,25,21
109,white,43,23
109,white,61,1
109,white,13,11
109,white,5,18
109,white,24,20
109,white,22,32
109,white,45,18
109,white,56,8
109,white,48,13
109,white,57,7
109,white,7,7
109,white,1,12
109,white,23,30
109,white,41,8
109,white,0,4
109,white,46,8
109,white,14,16
109,white,37,18
109,white,39,19
109,white,54,9
109,white,47,20
109,white,55,6
109,white,30,23
109,white,10,7
109,white,62,1
109,white,31,28
109,white,9,8
109,white,15,12
109,white,32,10
109,white,40,10
109,white,44,20
109,white,51,9
109,white,8,3
109,white,63,6
109,white,58,3
109,black,44,48
109,black,43,45
109,black,42,68
109,black,52,51
109,black,45,83
109,black,51,51
109,black,34,45
109,black,41,25
109,black,62,39
109,black,35,55
109,black,49,17
109,black,60,34
109,black,40,24
109,black,46,34
109,black,54,24
109,black,28,43
109,black,53,27
109,black,59,26
109,black,47,34
109,black,38,35
109,black,61,20
109,black,33,25
109,black,58,25
109,black,2,10
109,black,5,2
109,black,19,22
109,black,36,66
109,black,57,13
109,black,26,19
109,black,11,16
109,black,25,14
109,black,31,14
109,black,4,6
109,black,29,18
109,black,23,10
109,black,14,7
109,black,30,30
109,black,21,15
109,black,27,40
109,black,9,12
109,black,10,12
109,black,0,7
109,black,20,11
109,black,55,11
109,black,37,43
109,black,32,14
109,black,16,6
109,black,39,29
109,black,63,11
109,black,50,7
109,black,48,2
109,black,3,7
109,black,7,5
109,black,8,7
109,black,13,7
109,black,1,6
109,black,17,9
109,black,24,8
109,black,56,2
109,black,22,8
109,black,12,10
109,black,18,17
109,black,6,2
109,black,15,6
486,white,28,10
486,white,27,11
486,white,36,7
486,white,18,13
486,white,21,10
486,white,20,7
486,white,11,6
486,white,1,2
486,white,17,7
486,white,3,4
486,white,34,2
486,white,12,7
486,white,5,2
486,white,33,2
486,white,24,3
486,white,6,10
486,white,19,7
486,white,38,6
486,white,35,6
486,white,45,2
486,white,47,2
486,white,23,4
486,white,15,1
486,white,53,2
486,white,26,2
486,white,7,2
486,white,30,3
486,white,39,2
486,white,8,1
486,white,54,6
