rate_diff,winner,count
-75,white,26
-75,black,14
-75,draw,4
-74,white,20
-74,black,23
-74,draw,0
155,white,7
155,black,7
155,draw,0
-233,white,7
-233,black,10
-233,draw,1
-36,white,30
-36,black,27
-36,draw,2
57,white,28
57,black,15
57,draw,1
-123,white,9
-123,black,16
-123,draw,4
-321,white,5
-321,black,4
-321,draw,2
252,white,9
252,black,4
252,draw,1
189,white,20
189,black,15
189,draw,1
-191,white,3
-191,black,9
-191,draw,1
136,white,22
136,black,7
136,draw,0
37,white,20
37,black,23
37,draw,3
-363,white,2
-363,black,3
-363,draw,0
-334,white,1
-334,black,5
-334,draw,0
331,white,6
331,black,2
331,draw,0
-394,white,1
-394,black,9
-394,draw,0
-448,white,1
-448,black,7
-448,draw,1
133,white,20
133,black,7
133,draw,0
-43,white,11
-43,black,24
-43,draw,2
14,white,34
14,black,26
14,draw,1
32,white,21
32,black,16
32,draw,1
-62,white,13
-62,black,22
-62,draw,3
-148,white,6
-148,black,20
-148,draw,3
139,white,17
139,black,4
139,draw,4
-55,white,15
-55,black,21
-55,draw,3
-130,white,10
-130,black,15
-130,draw,2
130,white,16
130,black,14
130,draw,3
105,white,15
105,black,10
105,draw,1
-105,white,10
-105,black,17
-105,draw,3
-92,white,15
-92,black,13
-92,draw,2
-84,white,13
-84,black,22
-84,draw,0
-365,white,0
-365,black,4
-365,draw,0
13,white,36
13,black,28
13,draw,2
125,white,17
125,black,7
125,draw,1
52,white,18
52,black,12
52,draw,2
-19,white,24
-19,black,22
-19,draw,6
72,white,16
72,black,16
72,draw,2
-53,white,13
-53,black,24
-53,draw,2
132,white,12
132,black,6
132,draw,1
-163,white,8
-163,black,12
-163,draw,0
-21,white,29
-21,black,26
-21,draw,3
-8,white,25
-8,black,28
-8,draw,2
-210,white,11
-210,black,9
-210,draw,0
200,white,10
200,black,1
200,draw,0
-13,white,13
-13,black,35
-13,draw,2
-44,white,13
-44,black,18
-44,draw,1
414,white,1
414,black,2
414,draw,0
15,white,30
15,black,23
15,draw,3
2,white,24
2,black,21
2,draw,2
-17,white,28
-17,black,22
-17,draw,4
276,white,10
276,black,0
276,draw,0
111,white,15
111,black,12
111,draw,0
251,white,10
251,black,3
251,draw,0
-80,white,21
-80,black,20
-80,draw,3
-258,white,4
-258,black,9
-258,draw,0
148,white,16
148,black,10
148,draw,4
-68,white,19
-68,black,18
-68,draw,2
-352,white,1
-352,black,9
-352,draw,0
-158,white,3
-158,black,17
-158,draw,1
-178,white,6
-178,black,10
-178,draw,0
253,white,13
253,black,3
253,draw,0
-275,white,3
-275,black,4
-275,draw,1
146,white,17
146,black,7
146,draw,2
-155,white,9
-155,black,11
-155,draw,0
233,white,9
233,black,1
233,draw,1
-128,white,8
-128,black,18
-128,draw,3
-104,white,9
-104,black,15
-104,draw,1
-18,white,24
-18,black,22
-18,draw,2
-180,white,8
-180,black,15
-180,draw,0
-108,white,26
-108,black,15
-108,draw,2
-499,white,2
-499,black,3
-499,draw,0
217,white,14
217,black,7
217,draw,1
-290,white,2
-290,black,6
-290,draw,0
74,white,22
74,black,17
74,draw,1
-775,white,0
-775,black,1
-775,draw,0
398,white,6
398,black,0
398,draw,0
-103,white,12
-103,black,25
-103,draw,2
-45,white,18
-45,black,25
-45,draw,5
197,white,6
197,black,2
197,draw,0
65,white,23
65,black,18
65,draw,1
391,white,9
391,black,1
391,draw,0
162,white,21
162,black,4
162,draw,1
470,white,2
470,black,2
470,draw,0
-16,white,35
-16,black,38
-16,draw,3
296,white,12
296,black,4
296,draw,1
-41,white,24
-41,black,14
-41,draw,1
190,white,14
190,black,4
190,draw,0
-242,white,4
-242,black,10
-242,draw,2
265,white,9
265,black,3
265,draw,0
153,white,16
153,black,6
153,draw,0
-262,white,7
-262,black,9
-262,draw,0
319,white,12
319,black,1
319,draw,0
-426,white,1
-426,black,4
-426,draw,0
75,white,18
75,black,15
75,draw,0
131,white,17
131,black,11
131,draw,3
170,white,12
170,black,6
170,draw,1
108,white,33
108,black,14
108,draw,3
-207,white,5
-207,black,12
-207,draw,1
-423,white,0
-423,black,5
-423,draw,0
431,white,7
431,black,2
431,draw,1
-704,white,0
-704,black,1
-704,draw,0
-214,white,2
-214,black,7
-214,draw,0
-194,white,4
-194,black,11
-194,draw,1
60,white,27
60,black,15
60,draw,1
22,white,33
22,black,23
22,draw,5
-135,white,5
-135,black,19
-135,draw,2
-276,white,3
-276,black,9
-276,draw,0
94,white,16
94,black,11
94,draw,4
-277,white,4
-277,black,7
-277,draw,0
242,white,12
242,black,1
242,draw,0
-174,white,4
-174,black,7
-174,draw,2
-149,white,7
-149,black,9
-149,draw,0
707,white,1
707,black,0
707,draw,0
84,white,27
84,black,21
84,draw,2
-90,white,8
-90,black,9
-90,draw,4
110,white,25
110,black,10
110,draw,2
-122,white,5
-122,black,13
-122,draw,0
-537,white,1
-537,black,6
-537,draw,0
530,white,2
530,black,0
530,draw,0
588,white,1
588,black,0
588,draw,1
-583,white,0
-583,black,3
-583,draw,0
577,white,4
577,black,0
577,draw,0
-185,white,4
-185,black,14
-185,draw,2
-168,white,5
-168,black,11
-168,draw,2
-7,white,28
-7,black,25
-7,draw,1
202,white,15
202,black,3
202,draw,2
-240,white,2
-240,black,8
-240,draw,0
-116,white,9
-116,black,12
-116,draw,1
-292,white,3
-292,black,12
-292,draw,1
245,white,13
245,black,2
245,draw,0
55,white,27
55,black,23
55,draw,3
44,white,25
44,black,15
44,draw,0
-33,white,21
-33,black,25
-33,draw,1
147,white,15
147,black,5
147,draw,1
-77,white,13
-77,black,17
-77,draw,1
-82,white,23
-82,black,22
-82,draw,1
-119,white,8
-119,black,14
-119,draw,1
515,white,3
515,black,0
515,draw,0
158,white,19
158,black,5
158,draw,2
-79,white,11
-79,black,18
-79,draw,3
63,white,21
63,black,12
63,draw,3
250,white,10
250,black,2
250,draw,1
-51,white,21
-51,black,19
-51,draw,2
85,white,22
85,black,8
85,draw,0
-59,white,17
-59,black,20
-59,draw,2
-261,white,5
-261,black,8
-261,draw,0
-154,white,7
-154,black,10
-154,draw,2
180,white,11
180,black,8
180,draw,1
268,white,8
268,black,4
268,draw,0
-78,white,14
-78,black,20
-78,draw,2
-76,white,24
-76,black,18
-76,draw,1
-213,white,8
-213,black,15
-213,draw,0
-129,white,7
-129,black,20
-129,draw,3
183,white,16
183,black,12
183,draw,1
-132,white,8
-132,black,11
-132,draw,2
58,white,20
58,black,17
58,draw,1
270,white,13
270,black,4
270,draw,2
-91,white,9
